;Tag de compartimento;Fecha Muestreo;feature_2;feature_3;feature_4;feature_5;feature_6;feature_7;feature_8;feature_9;feature_10;feature_11;feature_12;feature_13;feature_14;feature_15;feature_16;feature_17;feature_18;feature_19;feature_20;feature_21;feature_22;feature_23;feature_24;feature_25;feature_26;feature_27;feature_28;feature_29;feature_30;feature_31;feature_32;feature_33;feature_34;feature_35;feature_36;feature_37;feature_38;feature_39;feature_40;feature_41;feature_42
8963;compartimento_1;2022-01-01 00:00:00;18.28;;2;0.0;1.0;1.0;0.0;0.0;0.0;0.0;2.0;2.0;1.0;2.0;81.0;0.0;138;3.0;0.0;0.0;0.0;0.0;0.0;1.0;NM;NM;;;;;;;;;;;4.66;0;;;
8964;compartimento_2;2022-01-01 00:00:00;18.4;;1;0.0;2.0;1.0;0.0;0.0;0.0;0.0;2.0;1.0;1.0;1.0;79.0;0.0;118;2.0;0.0;0.0;0.0;0.0;0.0;0.0;18/17/13;18;17;13;2064.42;645.62;169.08;58.03;;10.0;3.0;0.0;4.64;0;;;
9034;compartimento_1;2022-01-03 00:00:00;18.47;;1;0.0;2.0;2.0;0.0;0.0;0.0;0.0;2.0;1.0;1.0;1.0;94.0;0.0;130;3.0;0.0;0.0;0.0;0.0;1.0;0.0;17/15/11;17;15;11;868.75;286.18;43.0;18.0;;5.0;0.0;0.0;4.64;0;;;
9035;compartimento_2;2022-01-03 00:00:00;18.45;;2;0.0;3.0;2.0;0.0;0.0;0.0;0.0;2.0;2.0;1.0;2.0;88.0;0.0;130;3.0;2.0;0.0;0.0;0.0;1.0;0.0;16/13/10;16;13;10;392.49;79.47;17.0;8.0;;1.0;0.0;0.0;4.64;0;;;
9069;compartimento_1;2022-01-08 00:00:00;18.3;;1;0.0;2.0;1.0;0.0;0.0;0.0;0.0;3.0;2.0;1.0;2.0;104.0;0.0;226;3.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;4.68;0;;;
9071;compartimento_2;2022-01-08 00:00:00;18.54;;2;0.0;1.0;2.0;0.0;0.0;0.0;0.0;2.0;1.0;1.0;2.0;99.0;0.0;218;3.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;4.68;0;;;
9350;compartimento_1;2022-01-20 00:00:00;18.27;;2;0.0;2.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;90.0;0.0;232;2.0;1.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;4.66;0;;;
9351;compartimento_2;2022-01-20 00:00:00;18.33;;2;0.0;1.0;1.0;0.0;0.0;0.0;0.0;2.0;1.0;1.0;1.0;95.0;0.0;213;2.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;4.65;0;;;
9430;compartimento_1;2022-01-31 00:00:00;18.42;;1;0.0;2.0;1.0;1.0;0.0;1.0;0.0;2.0;1.0;1.0;1.0;94.0;0.0;191;3.0;0.0;0.0;0.0;0.0;0.0;1.0;;;;;;;;;;;;;4.69;0;;;
9431;compartimento_2;2022-01-31 00:00:00;18.69;;2;0.0;1.0;1.0;0.0;0.0;1.0;0.0;1.0;1.0;1.0;2.0;116.0;0.0;199;3.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;4.69;0;;;
9718;compartimento_1;2022-02-13 00:00:00;18.64;;0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;2.0;1.0;1.0;1.0;58.0;1.0;218;2.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;4.25;4;;;
9719;compartimento_2;2022-02-13 00:00:00;18.55;;2;0.0;1.0;1.0;0.0;0.0;0.0;0.0;2.0;1.0;1.0;1.0;75.0;1.0;229;2.0;0.0;0.0;0.0;0.0;1.0;0.0;;;;;;;;;;;;;4.56;6;;;
10001;compartimento_1;2022-02-28 00:00:00;18.41;;1;0.0;0.0;1.0;0.0;0.0;0.0;0.0;2.0;1.0;1.0;2.0;125.0;0.0;244;2.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;4.18;4;;;
10002;compartimento_2;2022-02-28 00:00:00;18.42;;0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;2.0;1.0;1.0;2.0;108.0;0.0;228;3.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;4.19;0;;;
10392;compartimento_1;2022-03-13 00:00:00;18.37;;3;0.0;2.0;1.0;0.0;0.0;0.0;0.0;2.0;1.0;1.0;1.0;97.0;0.0;144;3.0;1.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;4.280397;5;;;
